,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,C. Morris,0,0,0,0,1,4,0,1,26,1,0,0,2,0,1,Luton Town FC
1,T. Lockyer,0,0,0,0,0,2,0,1,50,0,2,0,1,1,,
2,I. Kaboré,0,0,0,0,0,0,0,0,27,4,2,0,2,0,1,Luton Town FC
3,P. Mpanzu,0,0,0,0,1,2,0,1,29,2,0,0,1,1,1,Luton Town FC
4,J. Brown,0,0,0,1,1,3,1,0,16,2,1,0,1,1,,
5,T. Mengi,0,0,0,0,0,0,0,0,56,0,2,0,0,0,1,Luton Town FC
6,A. Bell,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,
7,M. Nakamba,0,0,0,1,0,0,0,0,36,0,5,0,3,1,,
8,A. Doughty,0,0,0,0,2,1,0,1,24,12,0,0,1,0,1,Luton Town FC
9,C. Ogbene,0,0,0,0,1,2,0,0,27,7,1,2,2,2,,
10,T. Kaminski,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,Luton Town FC
11,R. Burke,0,1,0,1,0,1,1,0,20,1,1,0,1,0,1,Luton Town FC
12,E. Adebayo,1,0,0,0,1,2,1,0,4,1,0,1,0,0,,
13,T. Chong,0,0,0,1,0,1,0,1,11,1,0,0,0,0,1,Luton Town FC
14,S. Berge,0,1,0,0,0,0,0,0,41,1,2,1,0,0,0,Burnley FC
15,J. Trafford,0,0,0,0,0,0,0,0,43,0,0,0,0,0,,
16,L. Foster,1,0,0,0,0,2,1,0,21,1,0,0,1,0,0,Burnley FC
17,J. Cullen,0,0,0,0,0,1,0,0,52,1,2,0,1,5,0,Burnley FC
18,C. Taylor,0,0,0,1,0,0,0,0,49,3,2,0,1,1,0,Burnley FC
19,J. Beyer,0,0,0,0,0,0,0,0,32,0,2,0,0,1,,
20,Z. Amdouni,0,0,0,0,2,2,1,0,27,0,3,1,0,4,0,Burnley FC
21,L. Koleosho,0,0,0,0,2,3,1,1,16,1,0,1,1,1,,
22,J. Brownhill,0,0,0,0,1,3,0,0,59,5,1,0,2,0,0,Burnley FC
23,A. Al Dakhil,0,0,0,0,0,0,0,0,26,0,1,0,0,0,,
24,C. Roberts,0,1,0,1,1,0,0,0,31,0,1,0,0,1,,
25,J. Bruun Larsen,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Burnley FC
26,A. Ramsey,0,0,0,0,0,0,0,0,7,0,1,0,0,0,,
27,J. Rodríguez,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,Burnley FC
28,H. Delcroix,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
