,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,R. Jiménez,0,0,0,0,0,2,0,0,12,2,0,0,0,1,1,Fulham FC
1,João Palhinha,0,0,0,1,0,4,1,0,45,0,3,0,2,2,1,Fulham FC
2,T. Adarabioyo,0,0,0,0,1,1,1,0,62,0,0,0,0,0,1,Fulham FC
3,I. Diop,0,0,0,0,0,0,0,0,87,0,0,0,0,0,,
4,B. Leno,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,Fulham FC
5,A. Robinson,0,0,0,0,4,1,1,0,60,5,1,0,3,0,1,Fulham FC
6,T. Cairney,0,0,0,0,0,1,0,0,104,3,0,0,0,2,1,Fulham FC
7,B. De Cordova-Reid,0,0,0,0,1,4,1,1,32,2,0,0,0,2,1,Fulham FC
8,Andreas Pereira,0,0,0,0,5,6,0,2,41,12,1,2,0,2,1,Fulham FC
9,Willian,0,0,0,0,1,2,0,2,68,7,1,0,0,3,1,Fulham FC
10,T. Castagne,0,0,0,0,2,2,1,0,48,2,0,0,0,0,1,Fulham FC
11,Rodrigo Muniz,0,0,0,0,1,2,1,1,5,0,0,1,1,0,1,Fulham FC
12,T. Ream,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
13,H. Reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fulham FC
14,B. Godfrey,0,0,0,1,1,4,1,2,18,2,4,0,3,0,0,Everton FC
15,J. Branthwaite,0,0,0,1,0,0,0,0,34,0,3,0,1,1,0,Everton FC
16,V. Mykolenko,0,0,0,0,1,0,0,0,23,3,0,0,1,0,0,Everton FC
17,J. Pickford,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,Everton FC
18,A. Young,0,0,0,0,0,1,0,0,8,4,2,1,0,2,0,Everton FC
19,D. Calvert-Lewin,0,0,0,0,0,5,0,1,14,0,0,1,0,0,0,Everton FC
20,J. Harrison,0,0,0,0,0,3,1,1,13,0,0,0,0,1,0,Everton FC
21,J. Garner,0,0,0,0,2,1,0,1,26,5,4,0,2,0,0,Everton FC
22,D. McNeil,0,0,0,0,0,0,0,0,32,2,2,0,1,0,0,Everton FC
23,A. Danjuma,0,0,0,0,1,2,1,0,16,1,2,0,3,0,,
24,J. Tarkowski,0,0,0,0,0,1,1,0,26,0,1,0,1,0,0,Everton FC
25,Beto,0,0,0,0,1,3,0,1,1,0,0,0,1,2,0,Everton FC
26,N. Patterson,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,Everton FC
27,L. Dobbin,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,
