,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW
0,M. Olise,1,1,0,0,2,4,2,1,56,1,0,0,1,3
1,E. Eze,1,1,0,0,2,7,2,1,42,4,1,0,1,1
2,W. Hughes,0,0,0,1,0,0,0,0,53,1,4,0,1,2
3,A. Wharton,0,0,0,0,0,0,0,0,53,1,4,0,1,0
4,D. Muñoz,0,0,0,0,0,0,0,0,69,1,8,0,3,0
5,N. Clyne,0,0,0,0,0,0,0,0,70,0,4,0,1,0
6,J. Andersen,0,1,0,0,0,1,0,0,83,1,2,0,0,0
7,T. Mitchell,0,0,0,1,0,2,0,0,44,0,4,0,0,0
8,C. Richards,0,0,0,0,0,0,0,0,50,0,2,0,0,0
9,D. Henderson,1,0,0,0,0,0,0,0,25,0,0,0,0,0
10,J. Mateta,2,0,0,0,0,3,3,0,18,1,0,0,0,0
11,N. Ahamada,0,0,0,1,0,0,0,0,34,0,4,0,1,1
12,O. Édouard,0,0,0,0,0,0,0,0,11,0,0,0,0,0
13,J. Ayew,0,0,0,0,0,0,0,0,20,1,3,0,0,0
14,J. Riedewald,0,0,0,0,0,1,0,0,15,0,2,0,0,1
15,J. Schlupp,0,0,0,0,0,0,0,0,7,0,1,0,0,0
16,Ł. Fabiański,0,0,0,0,0,0,0,0,32,0,0,0,0,0
17,Emerson,1,0,0,0,0,0,0,0,37,3,3,0,0,3
18,Lucas Paquetá,0,0,0,0,0,0,0,0,42,0,4,0,2,1
19,E. Álvarez,0,0,0,0,0,0,0,0,34,1,5,0,1,0
20,T. Souček,0,1,0,1,0,0,0,0,14,0,2,0,1,1
21,A. Ogbonna,0,0,0,0,0,1,0,0,16,0,1,0,0,0
22,V. Coufal,0,0,0,0,0,0,0,0,29,0,2,0,0,0
23,M. Antonio,1,0,0,1,0,2,1,0,13,0,0,0,1,1
24,J. Ward-Prowse,0,0,0,0,0,0,0,0,50,2,4,0,1,1
25,M. Kudus,0,0,0,0,0,1,0,1,17,0,0,3,1,1
26,K. Zouma,0,0,0,0,0,0,0,0,36,0,1,0,0,0
27,A. Cresswell,0,0,0,0,0,0,0,0,39,0,0,1,1,0
28,B. Johnson,0,0,0,0,0,0,0,0,36,0,1,0,0,0
29,D. Ings,0,0,0,0,0,0,0,0,4,0,1,0,0,0
30,K. Phillips,0,0,0,0,0,0,0,0,14,0,2,0,1,0
31,M. Cornet,0,0,0,0,0,0,0,0,4,0,0,1,0,0
